Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,1957,0.088667,39.6621648,-8.1353519
United Kingdom,1957,0.021765,54.7023545,-3.2765753
Belgium,1957,0.032476,50.6402809,4.6667145
Switzerland,1957,0.020115,46.7985624,8.2319736
West Germany,1957,0.033134,40.4203479,-79.1166983
Norway,1957,0.016588,61.1529386,8.7876653
Australia,1957,0.019593,-24.7761086,134.755
Scotland,1957,0.025841,56.7861112,-4.1140518
New Zealand -- Maori,1957,0.054444,-41.2086794,174.8683301
Spain,1957,0.050541,39.3260685,-4.8379791
Northern Ireland,1957,0.027958,54.5859836,-6.9591554
Iceland,1957,0.012607,64.9841821,-18.1059013
Austria,1957,0.039683,47.59397,14.12456
New Zealand,1957,0.021615,-41.5000831,172.8344077
England and Wales,1957,0.020967,51.5742454,-2.6999204
Hungary,1957,0.053234,47.1817585,19.5060937
France,1957,0.03003,46.603354,1.8883335
Netherlands,1957,0.01578,52.2434979,5.6343227
New Zealand -- Non-Maori,1957,0.017522,,
Denmark,1957,0.019332,55.670249,10.3333283
The United States of America,1957,0.024322,35.4202289,-78.0254279
East Germany,1957,0.040548,43.0439394,-87.9081981
Japan,1957,0.0361,36.5748441,139.2394179
Sweden,1957,0.015765,59.6749712,14.5208584
England and Wales,1957,0.020967,51.5742454,-2.6999204
Finland,1957,0.025386,63.2467777,25.9209164
Czechia,1957,0.021803,49.7439047,15.3381061
Italy,1957,0.047726,42.6384261,12.674297
Bulgaria,1957,0.061265,42.6073975,25.4856617
Slovakia,1957,0.042089,48.7411522,19.4528646
Ireland,1957,0.02934,52.865196,-7.9794599
France,1957,0.03003,46.603354,1.8883335
Canada,1957,0.03019,61.0666922,-107.991707
