Country,Year,Female Baby Death Rate,Latitude,Longitude
Portugal,1952,0.094805,39.6621648,-8.1353519
United Kingdom,1952,0.025826,54.7023545,-3.2765753
Belgium,1952,0.041336,50.6402809,4.6667145
Switzerland,1952,0.02585,46.7985624,8.2319736
Norway,1952,0.021347,61.1529386,8.7876653
Australia,1952,0.02129,-24.7761086,134.755
Scotland,1952,0.032182,56.7861112,-4.1140518
New Zealand -- Maori,1952,0.087536,-41.2086794,174.8683301
Spain,1952,0.058927,39.3260685,-4.8379791
Northern Ireland,1952,0.033382,54.5859836,-6.9591554
Iceland,1952,0.019357,64.9841821,-18.1059013
Austria,1952,0.046948,47.59397,14.12456
New Zealand,1952,0.027723,-41.5000831,172.8344077
England and Wales,1952,0.024647,51.5742454,-2.6999204
Hungary,1952,0.064555,47.1817585,19.5060937
France,1952,0.040885,46.603354,1.8883335
Netherlands,1952,0.020923,52.2434979,5.6343227
New Zealand -- Non-Maori,1952,0.021121,,
Denmark,1952,0.025727,55.670249,10.3333283
The United States of America,1952,0.027858,35.4202289,-78.0254279
Japan,1952,0.04599,36.5748441,139.2394179
Sweden,1952,0.01804,59.6749712,14.5208584
England and Wales,1952,0.024647,51.5742454,-2.6999204
Finland,1952,0.030057,63.2467777,25.9209164
Czechia,1952,0.039385,49.7439047,15.3381061
Italy,1952,0.061073,42.6384261,12.674297
Bulgaria,1952,0.096042,42.6073975,25.4856617
Slovakia,1952,0.070801,48.7411522,19.4528646
Ireland,1952,0.038864,52.865196,-7.9794599
France,1952,0.040885,46.603354,1.8883335
Canada,1952,0.035847,61.0666922,-107.991707
