Country,Year,Female Baby Death Rate,Latitude,Longitude
United Kingdom,1924,0.069413,54.7023545,-3.2765753
Belgium,1924,0.089629,50.6402809,4.6667145
Switzerland,1924,0.055235,46.7985624,8.2319736
Norway,1924,0.041122,61.1529386,8.7876653
Australia,1924,0.053789,-24.7761086,134.755
Scotland,1924,0.086996,56.7861112,-4.1140518
Spain,1924,0.141029,39.3260685,-4.8379791
Northern Ireland,1924,0.077205,54.5859836,-6.9591554
Iceland,1924,0.05561,64.9841821,-18.1059013
England and Wales,1924,0.066555,51.5742454,-2.6999204
France,1924,0.083147,46.603354,1.8883335
Netherlands,1924,0.057109,52.2434979,5.6343227
New Zealand -- Non-Maori,1924,0.036469,,
Denmark,1924,0.073909,55.670249,10.3333283
Sweden,1924,0.052984,59.6749712,14.5208584
England and Wales,1924,0.066555,51.5742454,-2.6999204
Finland,1924,0.099753,63.2467777,25.9209164
Italy,1924,0.123718,42.6384261,12.674297
France,1924,0.083147,46.603354,1.8883335
Canada,1924,0.094022,61.0666922,-107.991707
