Country,Year,Female Baby Death Rate,Latitude,Longitude
United Kingdom,1927,0.063506,54.7023545,-3.2765753
Belgium,1927,0.089749,50.6402809,4.6667145
Switzerland,1927,0.050669,46.7985624,8.2319736
Norway,1927,0.038948,61.1529386,8.7876653
Australia,1927,0.050686,-24.7761086,134.755
Scotland,1927,0.079063,56.7861112,-4.1140518
Spain,1927,0.123263,39.3260685,-4.8379791
Northern Ireland,1927,0.073315,54.5859836,-6.9591554
Iceland,1927,0.081163,64.9841821,-18.1059013
England and Wales,1927,0.060836,51.5742454,-2.6999204
France,1927,0.081722,46.603354,1.8883335
Netherlands,1927,0.051793,52.2434979,5.6343227
New Zealand -- Non-Maori,1927,0.035321,,
Denmark,1927,0.074878,55.670249,10.3333283
Sweden,1927,0.051663,59.6749712,14.5208584
England and Wales,1927,0.060836,51.5742454,-2.6999204
Finland,1927,0.092173,63.2467777,25.9209164
Italy,1927,0.122485,42.6384261,12.674297
France,1927,0.081722,46.603354,1.8883335
Canada,1927,0.089936,61.0666922,-107.991707
